year,race,sex,life_expectancy
2014,All Races,Both Sexes,78.9
2013,All Races,Both Sexes,78.8
2012,All Races,Both Sexes,78.8
2011,All Races,Both Sexes,78.7
2010,All Races,Both Sexes,78.7
2009,All Races,Both Sexes,78.5
2008,All Races,Both Sexes,78.2
2007,All Races,Both Sexes,78.1
2006,All Races,Both Sexes,77.8
2005,All Races,Both Sexes,77.6
2004,All Races,Both Sexes,77.5
2003,All Races,Both Sexes,77.6
2002,All Races,Both Sexes,77
2001,All Races,Both Sexes,77
2000,All Races,Both Sexes,76.8
1999,All Races,Both Sexes,76.7
1998,All Races,Both Sexes,76.7
1997,All Races,Both Sexes,76.5
1996,All Races,Both Sexes,76.1
1995,All Races,Both Sexes,75.8
1994,All Races,Both Sexes,75.7
1993,All Races,Both Sexes,75.5
1992,All Races,Both Sexes,75.8
1991,All Races,Both Sexes,75.5
1990,All Races,Both Sexes,75.4
1989,All Races,Both Sexes,75.1
1988,All Races,Both Sexes,74.9
1987,All Races,Both Sexes,74.9
1986,All Races,Both Sexes,74.7
1985,All Races,Both Sexes,74.7
1984,All Races,Both Sexes,74.7
1983,All Races,Both Sexes,74.6
1982,All Races,Both Sexes,74.5
1981,All Races,Both Sexes,74.1
1980,All Races,Both Sexes,73.7
1979,All Races,Both Sexes,73.9
1978,All Races,Both Sexes,73.5
1977,All Races,Both Sexes,73.3
1976,All Races,Both Sexes,72.9
1975,All Races,Both Sexes,72.6
1974,All Races,Both Sexes,72
1973,All Races,Both Sexes,71.4
1972,All Races,Both Sexes,71.2
1971,All Races,Both Sexes,71.1
1970,All Races,Both Sexes,70.8
1969,All Races,Both Sexes,70.5
1968,All Races,Both Sexes,70.2
1967,All Races,Both Sexes,70.5
1966,All Races,Both Sexes,70.2
1965,All Races,Both Sexes,70.2
1964,All Races,Both Sexes,70.2
1963,All Races,Both Sexes,69.9
1962,All Races,Both Sexes,70.1
1961,All Races,Both Sexes,70.2
1960,All Races,Both Sexes,69.7
1959,All Races,Both Sexes,69.9
1958,All Races,Both Sexes,69.6
1957,All Races,Both Sexes,69.5
1956,All Races,Both Sexes,69.7
1955,All Races,Both Sexes,69.6
1954,All Races,Both Sexes,69.6
1953,All Races,Both Sexes,68.8
1952,All Races,Both Sexes,68.6
1951,All Races,Both Sexes,68.4
1950,All Races,Both Sexes,68.2
1949,All Races,Both Sexes,68
1948,All Races,Both Sexes,67.2
1947,All Races,Both Sexes,66.8
1946,All Races,Both Sexes,66.7
1945,All Races,Both Sexes,65.9
1944,All Races,Both Sexes,65.2
1943,All Races,Both Sexes,63.3
1942,All Races,Both Sexes,66.2
1941,All Races,Both Sexes,64.8
1940,All Races,Both Sexes,62.9
1939,All Races,Both Sexes,63.7
1938,All Races,Both Sexes,63.5
1937,All Races,Both Sexes,60
1936,All Races,Both Sexes,58.5
1935,All Races,Both Sexes,61.7
1934,All Races,Both Sexes,61.1
1933,All Races,Both Sexes,63.3
1932,All Races,Both Sexes,62.1
1931,All Races,Both Sexes,61.1
1930,All Races,Both Sexes,59.7
1929,All Races,Both Sexes,57.1
1928,All Races,Both Sexes,56.8
1927,All Races,Both Sexes,60.4
1926,All Races,Both Sexes,56.7
1925,All Races,Both Sexes,59
1924,All Races,Both Sexes,59.7
1923,All Races,Both Sexes,57.2
1922,All Races,Both Sexes,59.6
1921,All Races,Both Sexes,60.8
1920,All Races,Both Sexes,54.1
1919,All Races,Both Sexes,54.7
1918,All Races,Both Sexes,39.1
1917,All Races,Both Sexes,50.9
1916,All Races,Both Sexes,51.7
1915,All Races,Both Sexes,54.5
1914,All Races,Both Sexes,54.2
1913,All Races,Both Sexes,52.5
1912,All Races,Both Sexes,53.5
1911,All Races,Both Sexes,52.6
1910,All Races,Both Sexes,50
1909,All Races,Both Sexes,52.1
1908,All Races,Both Sexes,51.1
1907,All Races,Both Sexes,47.6
1906,All Races,Both Sexes,48.7
1905,All Races,Both Sexes,48.7
1904,All Races,Both Sexes,47.6
1903,All Races,Both Sexes,50.5
1902,All Races,Both Sexes,51.5
1901,All Races,Both Sexes,49.1
1900,All Races,Both Sexes,47.3
2014,All Races,Female,81.3
2013,All Races,Female,81.2
2012,All Races,Female,81.2
2011,All Races,Female,81.1
2010,All Races,Female,81
2009,All Races,Female,80.9
2008,All Races,Female,80.6
2007,All Races,Female,80.6
2006,All Races,Female,80.3
2005,All Races,Female,80.1
2004,All Races,Female,80.1
2003,All Races,Female,79.7
2002,All Races,Female,79.6
2001,All Races,Female,79.5
2000,All Races,Female,79.7
1999,All Races,Female,79.4
1998,All Races,Female,79.5
1997,All Races,Female,79.4
1996,All Races,Female,79.1
1995,All Races,Female,78.9
1994,All Races,Female,79
1993,All Races,Female,78.8
1992,All Races,Female,79.1
1991,All Races,Female,78.9
1990,All Races,Female,78.8
1989,All Races,Female,78.5
1988,All Races,Female,78.3
1987,All Races,Female,78.3
1986,All Races,Female,78.2
1985,All Races,Female,78.2
1984,All Races,Female,78.2
1983,All Races,Female,78.1
1982,All Races,Female,78.1
1981,All Races,Female,77.8
1980,All Races,Female,77.4
1979,All Races,Female,77.8
1978,All Races,Female,77.3
1977,All Races,Female,77.2
1976,All Races,Female,76.8
1975,All Races,Female,76.6
1974,All Races,Female,75.9
1973,All Races,Female,75.3
1972,All Races,Female,75.1
1971,All Races,Female,75
1970,All Races,Female,74.7
1969,All Races,Female,74.4
1968,All Races,Female,74.1
1967,All Races,Female,74.3
1966,All Races,Female,73.9
1965,All Races,Female,73.8
1964,All Races,Female,73.7
1963,All Races,Female,73.4
1962,All Races,Female,73.5
1961,All Races,Female,73.6
1960,All Races,Female,73.1
1959,All Races,Female,73.2
1958,All Races,Female,72.9
1957,All Races,Female,72.7
1956,All Races,Female,72.9
1955,All Races,Female,72.8
1954,All Races,Female,72.8
1953,All Races,Female,72
1952,All Races,Female,71.6
1951,All Races,Female,71.4
1950,All Races,Female,71.1
1949,All Races,Female,70.7
1948,All Races,Female,69.9
1947,All Races,Female,69.7
1946,All Races,Female,69.4
1945,All Races,Female,67.9
1944,All Races,Female,66.8
1943,All Races,Female,64.4
1942,All Races,Female,67.9
1941,All Races,Female,66.8
1940,All Races,Female,65.2
1939,All Races,Female,65.4
1938,All Races,Female,65.3
1937,All Races,Female,62.4
1936,All Races,Female,60.6
1935,All Races,Female,63.9
1934,All Races,Female,63.3
1933,All Races,Female,65.1
1932,All Races,Female,63.5
1931,All Races,Female,63.1
1930,All Races,Female,61.6
1929,All Races,Female,58.7
